SYMBOL	gs_name
ERLEC1	G2_plasma
HSH2D	G2_plasma
DNAJB9	G2_plasma
ICAM2	G2_plasma
FNDC3A	G2_plasma
C19orf10	G2_plasma
CREB3L2	G2_plasma
QTRT1	G2_plasma
PREB	G2_plasma
SEL1L3	G2_plasma
AARS	G2_plasma
AGA	G2_plasma
DUSP5	G2_plasma
PDIA4	G2_plasma
CD59	G2_plasma
CALU	G2_plasma
NME1	G2_plasma
THEMIS2	G2_plasma
DTNB	G2_plasma
GMPPA	G2_plasma
IGHM	G2_plasma
ELL2	G2_plasma
KNTC1	G2_plasma
HDLBP	G2_plasma
EDEM2	G2_plasma
FBXW7	G2_plasma
NPC2	G2_plasma
TMEM147	G2_plasma
TAPBPL	G2_plasma
SLC50A1	G2_plasma
SLAMF7	G2_plasma
SEC14L1	G2_plasma
SSR4	G2_plasma
DAP	G2_plasma
ANKRD37	G2_plasma
PABPC4	G2_plasma
KDELR2	G2_plasma
SEC63	G2_plasma
BCKDK	G2_plasma
ARMCX3	G2_plasma
SSR3	G2_plasma
PLD3	G2_plasma
KLF13	G2_plasma
TMED9	G2_plasma
ORAI2	G2_plasma
ARL1	G2_plasma
AKR1A1	G2_plasma
TMEM258	G2_plasma
SEC61G	G2_plasma
TP53INP1	G2_plasma
IFNAR1	G2_plasma
CADM1	G2_plasma
CD38	G2_plasma
CTSH	G2_plasma
CECR1	G2_plasma
HM13	G2_plasma
NUCB2	G2_plasma
KLHL6	G2_plasma
MBNL2	G2_plasma
SEMA4A	G2_plasma
HYOU1	G2_plasma
WDR45	G2_plasma
TSPAN3	G2_plasma
MRPL53	G2_plasma
MRPS24	G2_plasma
ST6GAL1	G2_plasma
CNPY2	G2_plasma
CD79B	G2_plasma
OSTC	G2_plasma
HIST2H2AA4	G2_plasma
TMEM39A	G2_plasma
IFNAR2	G2_plasma
MRPL52	G2_plasma
ARF4	G2_plasma
NANS	G2_plasma
TMEM256	G2_plasma
HIST1H2BK	G2_plasma
DNAJC1	G2_plasma
AKAP2	G2_plasma
STT3A	G2_plasma
PHPT1	G2_plasma
ERGIC3	G2_plasma
COPG1	G2_plasma
RABAC1	G2_plasma
SPCS2	G2_plasma
B4GALT3	G2_plasma
VKORC1	G2_plasma
YIF1A	G2_plasma
SEC61B	G2_plasma
SPCS3	G2_plasma
APOA1BP	G2_plasma
SLC35B1	G2_plasma
ARFGAP3	G2_plasma
IRF4	G2_plasma
TPST2	G2_plasma
ACADVL	G2_plasma
AC120194.1	G2_plasma
SAR1B	G2_plasma
GRN	G2_plasma
PSENEN	G2_plasma
BOLA2B	G2_plasma
GNL3	G2_plasma
GSTP1	G2_plasma
SEC61A1	G2_plasma
KRTCAP2	G2_plasma
ERGIC2	G2_plasma
NCF1	G2_plasma
HIST2H2AA3	G2_plasma
UFM1	G2_plasma
GLRX	G2_plasma
PDIA6	G2_plasma
EHMT1	G2_plasma
ERN1	G2_plasma
SEC13	G2_plasma
HERPUD1	G2_plasma
SCYL1	G2_plasma
CCNC	G2_plasma
HSP90B1	G2_plasma
SLC38A10	G2_plasma
P4HB	G2_plasma
MARS	G2_plasma
HAX1	G2_plasma
VOPP1	G2_plasma
GALNT2	G2_plasma
DNAJC4	G2_plasma
NOMO3	G2_plasma
RPN2	G2_plasma
SPCS1	G2_plasma
SCFD1	G2_plasma
IFI30	G2_plasma
EPRS	G2_plasma
COMMD3	G2_plasma
NCF4	G2_plasma
PIK3CG	G2_plasma
CISD2	G2_plasma
ATRAID	G2_plasma
YIPF3	G2_plasma
ALKBH7	G2_plasma
NDUFB7	G2_plasma
PSMB5	G2_plasma
IER3IP1	G2_plasma
ZBTB8OS	G2_plasma
ATP5G1	G2_plasma
GLA	G2_plasma
TFG	G2_plasma
SRP54	G2_plasma
CD63	G2_plasma
GORASP2	G2_plasma
CTD-2192J16.22	G2_plasma
FAM214A	G2_plasma
RPS27L	G2_plasma
DAD1	G2_plasma
DERL1	G2_plasma
NME1-NME2	G2_plasma
SRP72	G2_plasma
RPL22L1	G2_plasma
SHMT2	G2_plasma
TRPT1	G2_plasma
FAM46C	G2_plasma
SRPR	G2_plasma
SIK1	G2_plasma
SMDT1	G2_plasma
ATP5I	G2_plasma
FUT8	G2_plasma
ATF4	G2_plasma
RPN1	G2_plasma
TMED10	G2_plasma
LGALS1	G2_plasma
ZBTB38	G2_plasma
GUSB	G2_plasma
DNAJC3	G2_plasma
PIM2	G2_plasma
SLC1A5	G2_plasma
MPC1	G2_plasma
SEC62	G2_plasma
SEC31A	G2_plasma
TMEM14C	G2_plasma
C8orf59	G2_plasma
MBTPS1	G2_plasma
DERL2	G2_plasma
SEC23B	G2_plasma
USO1	G2_plasma
LMAN2	G2_plasma
DSTN	G2_plasma
CUTA	G2_plasma
ATP5J	G2_plasma
OS9	G2_plasma
PET100	G2_plasma
WARS	G2_plasma
EMC7	G2_plasma
CALCOCO1	G2_plasma
CLINT1	G2_plasma
TMED2	G2_plasma
SND1	G2_plasma
NDUFA3	G2_plasma
LIME1	G2_plasma
DNAJB11	G2_plasma
TRAM1	G2_plasma
SGSM3	G2_plasma
ROMO1	G2_plasma
CBWD6	G2_plasma
PRDX5	G2_plasma
RNF181	G2_plasma
OSBPL3	G2_plasma
LAMP2	G2_plasma
ATP6V0B	G2_plasma
USP48	G2_plasma
NEU1	G2_plasma
BCL2L11	G2_plasma
CYBA	G2_plasma
DPM2	G2_plasma
MRPL55	G2_plasma
PQBP1	G2_plasma
MGAT1	G2_plasma
UQCRQ	G2_plasma
SELK	G2_plasma
CASP3	G2_plasma
COX5A	G2_plasma
ITFG1	G2_plasma
FIS1	G2_plasma
RP4-583P15.14	G2_plasma
RTN3	G2_plasma
TECR	G2_plasma
NDUFS8	G2_plasma
BET1L	G2_plasma
NMRK1	G2_plasma
LRPAP1	G2_plasma
RAB1A	G2_plasma
ZNF706	G2_plasma
IFI27L2	G2_plasma
NDUFB11	G2_plasma
DDOST	G2_plasma
NDUFAB1	G2_plasma
NDUFA1	G2_plasma
MRPL51	G2_plasma
SLC25A39	G2_plasma
TMEM59	G2_plasma
NDUFB4	G2_plasma
FDPS	G2_plasma
NDUFC1	G2_plasma
MTDH	G2_plasma
SERP1	G2_plasma
GARS	G2_plasma
NDUFAF3	G2_plasma
NDUFB10	G2_plasma
MARCO	G3_mono_macro
FPR3	G3_mono_macro
CLEC5A	G3_mono_macro
AQP9	G3_mono_macro
CLEC10A	G3_mono_macro
HNMT	G3_mono_macro
OLR1	G3_mono_macro
CD300E	G3_mono_macro
ARHGEF10L	G3_mono_macro
HK3	G3_mono_macro
ANPEP	G3_mono_macro
LGALS2	G3_mono_macro
FCN1	G3_mono_macro
GPR84	G3_mono_macro
CCL2	G3_mono_macro
CLEC4E	G3_mono_macro
CSTA	G3_mono_macro
TREM1	G3_mono_macro
FCGR1B	G3_mono_macro
TMEM176B	G3_mono_macro
C19orf59	G3_mono_macro
OSCAR	G3_mono_macro
CYP2S1	G3_mono_macro
STAB1	G3_mono_macro
VCAN	G3_mono_macro
FPR1	G3_mono_macro
SERPINA1	G3_mono_macro
TLR2	G3_mono_macro
VSIG4	G3_mono_macro
TMEM176A	G3_mono_macro
VMO1	G3_mono_macro
MAFB	G3_mono_macro
FCGR1A	G3_mono_macro
SLC37A2	G3_mono_macro
CD14	G3_mono_macro
TLR4	G3_mono_macro
CD300LF	G3_mono_macro
CXCL3	G3_mono_macro
CD33	G3_mono_macro
GPNMB	G3_mono_macro
FOLR2	G3_mono_macro
LILRA3	G3_mono_macro
LPCAT2	G3_mono_macro
TREM2	G3_mono_macro
PLXDC2	G3_mono_macro
CD163	G3_mono_macro
RIN2	G3_mono_macro
NFAM1	G3_mono_macro
CD300C	G3_mono_macro
IL1B	G3_mono_macro
MSR1	G3_mono_macro
LILRA6	G3_mono_macro
ALDH3B1	G3_mono_macro
CXCL2	G3_mono_macro
C5AR1	G3_mono_macro
ADAP2	G3_mono_macro
IL8	G3_mono_macro
C15orf48	G3_mono_macro
MRC1L1	G3_mono_macro
BST1	G3_mono_macro
PLAU	G3_mono_macro
SIGLEC9	G3_mono_macro
MS4A4A	G3_mono_macro
SIRPA	G3_mono_macro
RNASE1	G3_mono_macro
CPVL	G3_mono_macro
PLBD1	G3_mono_macro
LILRA2	G3_mono_macro
SLC11A1	G3_mono_macro
PYGL	G3_mono_macro
HCK	G3_mono_macro
LRP1	G3_mono_macro
C1QC	G3_mono_macro
LYZ	G3_mono_macro
LRRC25	G3_mono_macro
ADM	G3_mono_macro
C1QA	G3_mono_macro
APOBEC3A	G3_mono_macro
ZNF385A	G3_mono_macro
TGM2	G3_mono_macro
TNFAIP2	G3_mono_macro
CSF3R	G3_mono_macro
SLCO2B1	G3_mono_macro
LILRB2	G3_mono_macro
SIGLEC7	G3_mono_macro
TNS1	G3_mono_macro
S100A9	G3_mono_macro
RAB20	G3_mono_macro
EPB41L3	G3_mono_macro
C1QB	G3_mono_macro
PTAFR	G3_mono_macro
CD93	G3_mono_macro
PRAM1	G3_mono_macro
ST3GAL6	G3_mono_macro
S100A8	G3_mono_macro
IL1RN	G3_mono_macro
SLC8A1	G3_mono_macro
FBP1	G3_mono_macro
LILRA1	G3_mono_macro
ANKRD22	G3_mono_macro
MNDA	G3_mono_macro
LTBR	G3_mono_macro
CARD9	G3_mono_macro
CSF1R	G3_mono_macro
IGSF6	G3_mono_macro
FCGR2A	G3_mono_macro
SPP1	G3_mono_macro
C2	G3_mono_macro
CLEC12A	G3_mono_macro
KCTD12	G3_mono_macro
APOC1	G3_mono_macro
F13A1	G3_mono_macro
SPI1	G3_mono_macro
MT1G	G3_mono_macro
CLEC7A	G3_mono_macro
SLC1A3	G3_mono_macro
LILRA5	G3_mono_macro
CFP	G3_mono_macro
MMP19	G3_mono_macro
APOE	G3_mono_macro
NCF2	G3_mono_macro
CREB5	G3_mono_macro
IRAK3	G3_mono_macro
DMXL2	G3_mono_macro
CFD	G3_mono_macro
MS4A7	G3_mono_macro
HBEGF	G3_mono_macro
CSF2RA	G3_mono_macro
MYOF	G3_mono_macro
PMP22	G3_mono_macro
FN1	G3_mono_macro
THBD	G3_mono_macro
SLC7A7	G3_mono_macro
KIAA1598	G3_mono_macro
DAPK1	G3_mono_macro
LILRB3	G3_mono_macro
FGD4	G3_mono_macro
DAB2	G3_mono_macro
RAB31	G3_mono_macro
PLTP	G3_mono_macro
SERPING1	G3_mono_macro
RBM47	G3_mono_macro
PTGS1	G3_mono_macro
SLC15A3	G3_mono_macro
CXCL16	G3_mono_macro
PLAUR	G3_mono_macro
ALDH2	G3_mono_macro
TCN2	G3_mono_macro
CST3	G3_mono_macro
FCGR2C	G3_mono_macro
CTSL	G3_mono_macro
LILRB4	G3_mono_macro
RAB13	G3_mono_macro
CD36	G3_mono_macro
KLF4	G3_mono_macro
C1orf54	G3_mono_macro
SLC31A2	G3_mono_macro
AIF1	G3_mono_macro
TNFSF13	G3_mono_macro
GPX3	G3_mono_macro
TFEC	G3_mono_macro
TGFBI	G3_mono_macro
SMPDL3A	G3_mono_macro
MARCKS	G3_mono_macro
QPCT	G3_mono_macro
IL4I1	G3_mono_macro
IL18	G3_mono_macro
CD68	G3_mono_macro
LST1	G3_mono_macro
NPL	G3_mono_macro
CD1D	G3_mono_macro
C3AR1	G3_mono_macro
KYNU	G3_mono_macro
G0S2	G3_mono_macro
PILRA	G3_mono_macro
GSN	G3_mono_macro
FCER1G	G3_mono_macro
SLAMF8	G3_mono_macro
TM6SF1	G3_mono_macro
CD302	G3_mono_macro
FES	G3_mono_macro
AXL	G3_mono_macro
CLEC4A	G3_mono_macro
TSPAN4	G3_mono_macro
CD86	G3_mono_macro
SLC43A2	G3_mono_macro
FGL2	G3_mono_macro
RNF144B	G3_mono_macro
NLRP3	G3_mono_macro
FAM26F	G3_mono_macro
RNF130	G3_mono_macro
TYROBP	G3_mono_macro
CYFIP1	G3_mono_macro
CD9	G3_mono_macro
IER3	G3_mono_macro
ADAM9	G3_mono_macro
ABCA1	G3_mono_macro
SCIMP	G3_mono_macro
RAB34	G3_mono_macro
RASSF4	G3_mono_macro
PLXNB2	G3_mono_macro
HK2	G3_mono_macro
SIGLEC10	G3_mono_macro
ITGAM	G3_mono_macro
NRP1	G3_mono_macro
SRC	G3_mono_macro
FCGR2B	G3_mono_macro
B3GNT5	G3_mono_macro
MPEG1	G3_mono_macro
FCGRT	G3_mono_macro
ALOX5	G3_mono_macro
MS4A6A	G3_mono_macro
LY86	G3_mono_macro
TNFSF13B	G3_mono_macro
DRAM1	G3_mono_macro
CYBB	G3_mono_macro
IFNGR2	G3_mono_macro
TLR1	G3_mono_macro
TBC1D2	G3_mono_macro
ARRB1	G3_mono_macro
DUSP3	G3_mono_macro
NCEH1	G3_mono_macro
DOK3	G3_mono_macro
FGR	G3_mono_macro
SIGLEC14	G3_mono_macro
CREG1	G3_mono_macro
ATF5	G3_mono_macro
LILRB1	G3_mono_macro
FCGR3B	G3_mono_macro
SLC31A1	G3_mono_macro
TBXAS1	G3_mono_macro
CTNND1	G3_mono_macro
TIMP1	G3_mono_macro
CCDC88A	G3_mono_macro
BLVRB	G3_mono_macro
CSF2RB	G3_mono_macro
CCR1	G3_mono_macro
CPM	G3_mono_macro
PSTPIP2	G3_mono_macro
C1orf162	G3_mono_macro
RNASE6	G3_mono_macro
BCAT1	G3_mono_macro
CACNA2D4	G3_mono_macro
EMILIN2	G3_mono_macro
MGST2	G3_mono_macro
PLA2G15	G3_mono_macro
PRKCD	G3_mono_macro
ACER3	G3_mono_macro
CLIC4	G3_mono_macro
ADAMTSL4	G3_mono_macro
